QKEY,KP_W32,Device_Type_W32,LANGUAGE_W32,FORM_W32,SATLIFEA_W32,SATLIFEB_W32,SATLIFEC_W32,SATLIFED_W32,SATLIFEE_W32,SOCASSIGN_W32,SOCTRUST_W32,SOCTRUST2_W32,SOCTRUST3_W32,SOCTRUST4_W32,SOCTRUST5_W32,COMMYRS_W32,COMATTACH_W32,FEELA_W32,FEELB_W32,FEELC_W32,FEELD_W32,INC_W32,INCFUTURE_W32,COMMIMPA_W32,COMMIMPB_W32,COMMIMPC_W32,COMMIMPD_W32,COMMIMPE_W32,COMMIMPF_W32,COMMIMPG_W32,COMMIMPH_W32,FAMNEAR_W32,SUCCESSIMPA_W32,SUCCESSIMPB_W32,SUCCESSIMPC_W32,SUCCESSIMPD_W32,FEDSHAREA_W32,FEDSHAREB_W32,FEDSHAREC_W32,LOCALPROBA_W32,LOCALPROBB_W32,LOCALPROBC_W32,LOCALPROBD_W32,LOCALPROBE_W32,LOCALPROBF_W32,LOCALPROBG_W32,LOCALPROBH_W32,LOCALPROBI_W32,LOCALPROBJ_W32,LOCALPROBK_W32,LOCALPROBL_F1_W32,LOCALPROBM_F2_W32,JOBSFUTURE_W32,HARASS1A_W32,HARASS1B_W32,HARASS1C_W32,HARASS1D_W32,HARASS2F1_W32,HARASS3F2_W32,HARASS4_W32,HARASS5_W32,GROWUPNEAR_W32,LIFELOC_W32,REASSTAY_m1_W32,REASSTAY_m2_W32,REASSTAY_m3_W32,REASBACK_m1_W32,REASBACK_m2_W32,REASBACK_m3_W32,REASMOVE_m1_W32,REASMOVE_m2_W32,REASMOVE_m3_W32,VALUEURBAN_W32,VALUESUBURB_W32,VALUERURAL_W32,NEIGHKNOW_W32,NEIGHINTERA_W32,NEIGHINTERB_W32,NEIGHINTERC_W32,NEIGHINTERD_W32,NEIGHKEYS_W32,NEIGHKIDS_W32,NEIGHSAMEA_W32,NEIGHSAMEB_W32,NEIGHSAMEC_W32,IMMCOMM_W32,IMMIMPACT_W32,GROWUPUSR_W32,COMTYPE2_W32,CITYSIZE_W32,SUBURBNEAR_W32,COMTYPE2_INS_W32,VIEWCOMM_W32,PROBSELF_W32,PROBURBAN_W32,PROBSUBURB_W32,PROBRURAL_W32,WANTMOVE_W32,WILLMOVE_W32,MOVEURBAN_W32,MOVESUBURB_W32,MOVERURAL_W32,THERMTRUMP_W32,THERMOBAMA_W32,THERMPENCE_W32,ETHNCMAJ_W32,IMMCULT2_W32,MARRFAM2_W32,ECONFAIR2_W32,WOMENOPPS_W32,GOVT_ROLE_W32,WHADVANT_W32,GAYMARR2_W32,ABORTION_W32,ABORTIONRESTR_W32,ABORTIONALLOW_W32,CLASS_W32,MISINFG_W32,MISINFT_W32,F_CREGION_FINAL,F_AGECAT_FINAL,F_SEX_FINAL,F_EDUCCAT_FINAL,F_EDUCCAT2_FINAL,F_HISP_RECRUITMENT,F_RACECMB_RECRUITMENT,F_RACETHN_RECRUITMENT,F_CITIZEN_RECODE_FINAL,F_MARITAL_FINAL,F_RELIG_FINAL,F_BORN_FINAL,F_ATTEND_FINAL,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME_FINAL,F_INCOME_RECODE_FINAL,F_REG_FINAL,F_IDEO_FINAL,F_INTUSER_FINAL,F_VOLSUM_FINAL,DIVISION_BY_MSA,WEIGHT_W32,WEIGHT_W32_ATP
285953,0,1,9,1,2,2,2,2,2,5, , , , ,1,4,2,3,1,2,3,1, ,2,1,2,3,1,2,2,4,4,1,1,1,2,2,3,1,3,2,3,3,3,2,2,1,2,2,3,2, ,1,3,2,2,3,3, ,1,2,2, , , , , , , , , , ,2,3,3,2,3,5,3,4,1,1,2,2,2,2,1,2,1,1, ,1,3,3, ,2,3,2,3, , , ,2,90,5,3,2,2,1,2,1,2,1,1,2, ,2,1, ,4,3,1,1,6,2,1,1,1,1,11, ,4,2, ,2,9,1,1,3,1,1,17,0.1207938876,0.0881660642
286082,0,1,9,1,3,4,4,4,3,5, , , , ,2,3,4,2,2,2,1,2,2,1,1,3,2,1,2,1,2,3,2,2,1,1,3,3,2,3,1,3,3,3,3,3,1,3,2,3,3, ,3,2,2,1,1,2, ,2, ,2, , , , , , , , , , ,3,2,1,3,5,6,6,6,2,8,2,4,4,1,2,3,1,2, ,1,3,3, ,2,1,1,1,3, , ,30,10,10,3,1,2,1,2,2,2,3,2, ,1,3,2, ,3,2,2,3,1,2,1,1,1,3,12, ,5,4,1,1,1,3,1,5,1,2,7,4.700615062,4.8879972074
286168,0,2,9,1,1,2,2, ,2,1,1, , , , ,5,2,3,1,1,3,1, ,3,2,3,2,3,2,2,2,3,2,1,1,1,1,1,2,2,1,2,2,2,2,2,3,2,2,3,1, ,3,1,2,2,2,2, ,2, ,2, , , , , , , , , , ,3,2,1,2,2,5,6,6,1,8,1,2,2,3,3,3,3, , ,3,3,2,2,2, ,2,4, , , ,80,20,85,2,1,1,2,1,2,3,4,2, ,1,4,2, ,3,4,1,3,2,2,1,1,1,3,1,1,5,1, ,1,3,3,1,2,1,2,13,0.6717273046,1.1311039714
286197,0,3,9,2,2,1,1,2,1,3, , ,7, , ,4,1,4,1,1,2,1, ,1,1,1,1,1,1,1,4,2,2,1,1,1,3,1,3,2,2,1,2,2,2,1,1,1,2,1, ,2,1,2,3,2,2, ,2,1,3,1,2, , , ,10, , , , , ,2,3,3,2,2,3,5,4,1,1,2,1,3,3,1,1,1,2, ,1,3,3, ,1,3,2,3, , , ,10,97,5,3,2,2,1,1,1,1,1,1,2, ,3, ,1,2,2,2,1,6,2,1,1,1,1,1,2,2,2, ,2,8,1,99,4,1,1,11,0.3352040109,0.2620456487
286551,0,3,9,2,1,2,1, ,2,1,1, , , , ,5,1,3,1,1,2,1, ,2,1,4,3,2,2,2,2,2,2,1,1,1,1,3,3,1,2,3,3,3,3,3,3,2,2,2, ,2,1,1,1,1,1, ,3,1,2,2, , , , , , , , , , ,3,2,2,2,2,3,2,5,1,8,2,3,3,1,3,2,2, ,1,2,99,2,2, ,2,2,3, , , ,5,3,7,3,1,2,2,1,2,3,99,99, , ,3, ,1,4,4,2,2,3,2,1,1,1,1,1,1,2,1, ,1,6,2,1,3,1,1,15,0.1772918664,0.2144561445
286663,0,1,9,1,3,3,3,2,3,3, , ,6, , ,5,3,1,2,3,2,2,1,2,1,1,2,2,3,1,2,1,3,1,1,1,2,1,2,3,2,3,2,3,2,2,1,1,2,2,2, ,2,2,2,1,1,3, ,1,3,1,1,1,5, , , , , , , ,2,3,3,3,5,6,6,6,1,1,3,2,3,1,3,1,1,3, ,1,3,3, ,3,3,1,2,2, , ,20,80,20,1,2,2,1,2,1,1,2,2, ,1,4,2, ,2,2,2,3,2,1,1,3,1,6,1,1,5,4,2,2,6,2,1,3,1,2,5,1.8655004843,1.6704020315
287086,0,2,9,1,1,1,1,1,1,1,1, , , , ,5,2,3,1,1,2,1, ,2,2,3,2,2,2,2,3,1,2,1,1,1,3,1,2,3,2,3,3,2,1,3,1,2,3,3,3, ,3,3,3,2,1,3, ,1,3,1,1,8,1, , , , , , , ,2,3,2,2,3,5,2,5,1,8,1,1,2,2,1,3,3, , ,3,3,3,2,2, ,1,2, , ,2,0,95,0,1,2,1,1,2,1,2,2,1,1, ,3,2, ,2,3,2,1,5,2,1,1,1,1,1,2,5,3,2,2,6,2,1,3,1,1,6,0.3282537736,0.5082117077
287097,0,1,9,1,3,3,1,3,2,2, ,1, , , ,2,3,2,3,2,1,1, ,1,4,2,3,1,4,1,4,4,2,1,1,1,2,3,2,2,1,3,3,3,1,2,2,3,3,2,1, ,3,2,3,1,2,1, ,2, ,2, , , , , , , , , , ,2,3,4,3,2,6,6,5,1,8,2,1,3,2,3,2,1,3, ,1,3,4, ,2,2,2,3, , , ,0,90,3,3,2,2,1,2,1,2,1,1,2, ,2,2, ,4,3,1,1,5,2,1,1,1,3,1,2,5,2, ,2,9,1,1,3,1,2,15,0.7709297738,0.572813583
287191,0,3,9,1,2,2,3,3,2,5, , , , ,1,5,2,3,1,2,2,2,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,3,2,2,1,3,1,1,1,1,2, ,2,2,1,2,1,3, ,2, ,1,1,8,1, , , , , , , ,3,1,3,3,4,6,6,6,1,1,4,2,3,2,3,1,1,3, ,1,2,2, ,2,2,1,3,1, , ,80,50,80,3,1,1,1,1,1,3,4,1,2, ,2,1, ,4,3,2,2,3,2,1,1,1,1,2,2,5,1, ,1,8,1,1,2,1,1,17,0.5337109238,0.5515878214
287272,0,3,9,1,2,2,2, ,1,5, , , , ,1,5,1,4,1,1,3,1, ,2,3,3,3,1,1,1,2,3,1,1,1,1,3,3,3,2,2,3,3,3,2,2,2,2,2,3,2, ,3,3,2,1,1,1, ,2, ,2, , , , , , , , , , ,2,2,2,2,1,2,1,3,1,8,2,2,3,2,1,2,1,1, ,1,2,3, ,2,2,2,1, , , ,1,80,1,3,2,1,1,2,1,1,1,1,1, ,3,1, ,1,4,2,1,5,2,1,1,1,5,1,2,5,2, ,2,3,3,1,3,1,1,3,0.2319217709,0.1784422781
287366,0,1,9,2,1,2,1, ,2,1,2, , , , ,5,2,3,1,2,2,1, ,2,1,1,3,2,1,1,2,3,2,1,1,1,1,1,2,1,1,3,1,2,1,1,1,1,2,1, ,3,1,2,2,2,2, ,2,2, ,1,1,1, , , , , , , , ,4,2,1,2,4,4,4,5,1,1,4,2,3,2,3,3,2, ,1,2,3,2,2, ,1,3,2, , , ,98,50,99,2,1,1,1,2,2,1,4,2, ,1,2, ,1,3,4,2,2,3,2,1,1,1,1,1,1,2,1, ,1,9,1,1,2,1,1,14,0.1543203983,0.2469089207
287463,0,3,9,1,1,3,3,3,3,4, , , ,2, ,5,1,1,1,2,2,2,2,1,1,1,2,1,1,1,3,2,1,1,1,2,2,2,1,3,1,3,3,3,1,2,1,3,2,2,2, ,2,3,3,1,1,3, ,1,3,1,1,5, , , , , , , , ,1,2,4,2,2,2,2,4,1,1,4,2,3,1,1,2,2, ,2,2,2,3,1, ,1,2,3, , , ,0,100,0,1,2,2,1,2,1,1,1,1,2, ,2,2, ,4,3,2,1,5,2,1,1,1,3,2,2,5,2, ,2,9,1,1,5,1,1,17,0.1800238086,0.1235954781
288489,0,3,9,2,3,2,1, ,1,5, , , , ,1,5,1,2,1,1,3,1, ,3,4,4,2,2,2,3,1,4,2,1,1,1,1,3,2,3,1,3,3,3,3,2,3,2,2,3, ,3,1,1,1,2,3, ,2,2, ,2, , , , , , , , , , ,4,3,1,3,5,6,6,6,1,8,1,2,4,1,1,2,3, , ,3,3,4,4,3, ,2,2, , , ,95,0,90,3,2,1,2,1,2,3,4,2, ,2,2, ,2,1,4,1,1,6,2,9,9,1,1,2,1,2,1, ,1,7,1,1,1,1,1,3,0.1848498326,0.1439312943
288802,0,1,9,2,2,1,2,1,2,4, , , ,2, ,3,2,3,1,1,2,2,1,1,1,2,3,1,3,3,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3, ,3,3,1,1,1,1, ,3,1,1,2, , , , , , , , , , ,2,1,2,3,5,6,6,6,2,8,3,2,3,2,1,2,2, ,2,2,2,2,3, ,3,2,3, , , ,30,30,30,3,2,2,1,2,2,2,1,1,1, ,3, ,1,2,2,2,1,5,2,1,1,1,1,1,2,2,4,1,1,8,1,1,1,1,1,5,0.4029414963,0.2620457486
288869,0,3,9,2,2,1,2, ,1,1,1, , , , ,5,1,4,1,2,3,1, ,2,1,3,2,2,1,2,1,2,2,1,1,2,1,3,2,2,2,3,3,3,1,2,3,2,2,2, ,2,1,3,2,2,2, ,2,1,2,2, , , , , , , , , , ,3,3,2,3,2,3,4,6,1,8,4,2,4,4, ,3,2, ,3,2,3,2,2, ,1,1,3, ,3, ,50,10,80,2,1,1,2,1,2,4,3,2, ,1,3, ,2,3,4,1,2,3,2,4,4,1,1,1,1,2,1, ,1,7,1,1,2,1,1,9,0.2531992071,0.2795967507
289200,0,2,9,1,1,2,1, ,1,4, , , ,2, ,3,2,2,1,2,3,1, ,1,2,1,3,1,3,2,3,4,2,1,1,1,3,3,3,2,2,3,2,3,1,1,2,3,2,3,3, ,1,2,2,1,3,1, ,1,3,2, , , , , , , , , , ,2,2,4,2,4,5,5,5,1,1,5,2,4,3,1,2,2, ,3,2,2,3,3, ,3,3,1, , , ,0,100,5,1,2,2,1,2,1,1,1,1,2, ,2,2, ,3,2,2,3,2,2,3,4,1,1,12, ,6,2, ,2,8,1,1,4,1,2,9,1.6241246374,2.0315870001
289280,0,2,10,1,2,2,2, ,2,5, , , , ,2,3,2,3,1,1,2,1, ,4,1,4,4,2,1,4,4,2,2,1,2,2,3,3,3,2,2,3,3,3,3,2,3,2,2,3,3, ,2,2,1,1,1,1, ,2, ,2, , , , , , , , , , ,4,4,2,3,5,6,6,6,2,2,4,4,5,1,3,3,1,2, ,1,3,3, ,4,3,2,4, , , ,999,50,999,3,2,2,1,2,1,3,2,1,1, ,2,1, ,4,3,2,3,1,1,5,3,2,1,2,2,6,3,2,2,2,3,3,1,0,2,17,4.3701129752,4.5092717105
289390,0,3,9,1,4,4,4,4,2,5, , , , ,2,5,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,2,3,1,2,1,1,1,1,1, ,3,1,1,1,1,1, ,1,3,1,2, , , ,9, , , , , ,1,4,4,2,1,6,6,6,2,8,1,4,2,1,2,1,1,1, ,1,4,4, ,4,4,2,4, , , ,100,0,100,3,1,1,1,1,1,4,4,2, ,1,5,1, ,1,2,1,2,4,2,1,1,1,6,5, ,4,2, ,2,1,3,1,3,1,2,3,1.2634811026,1.1074243675
289477,0,1,9,2,2,2,2,3,2,2, ,1, , , ,5,2,2,2,2,1,2,1,3,3,3,2,1,2,2,2,3,2,1,1,1,3,3,3,1,1,2,2,1,1,3,2,1,1,3, ,3,3,3,3,3,3, ,3,1,1,1,2, , , ,97, , , , , ,3,3,3,2,5,5,3,5,1,1,2,2,2,2,1,3,3, , ,3,3,3,2,2, ,2,3, , , ,95,0,95,2,1,1,2,2,2,4,4,2, ,2,3, ,1,2,3,2,1,5,2,1,1,1,1,1,1,2,4,1,1,9,1,1,1,1,1,11,0.0960501228,0.1294682162
289868,0,3,9,1,2,2,1, ,2,2, ,1, , , ,5,1,2,2,2,3,1, ,2,2,2,2,1,2,2,4,3,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1, ,3,2,2,2,1,3, ,1,2,2, , , , , , , , , , ,2,4,3,2,3,5,5,5,1,8,2,3,2,1,3,1,1,2, ,1,3,3, ,2,2,3,3, , , ,0,90,1,3,2,2,1,2,1,1,1,1,2, ,2,1, ,4,4,2,1,6,2,1,1,1,6,12, ,5,3,2,2,5,2,1,4,1,2,17,0.6478223016,0.4145316808
290087,0,1,9,2,3,3,2,1,3,3, , ,2, , ,4,4,3,1,2,2,2,1,1,1,2,3,1,3,3,2,3,2,1,1,1,1,2,2,2,1,3,3,3,2,1,3,1,1,3, ,2,1,2,2,2,2, ,2,2, ,2, , , , , , , , , , ,3,2,2,2,4,6,6,6,1,1,2,2,3,2,2,3,2, ,1,2,3,3,1, ,1,1,1, ,2, ,75,25,100,3,2,1,2,1,2,3,3,2, ,1,3, ,1,2,2,1,1,5,2,1,1,1,1,1,1,2,1, ,1,8,1,1,2,1,2,5,0.5632145614,0.4420302731
291033,0,3,9,1,3,2,1, ,1,5, , , , ,1,2,2,2,1,1,3,1, ,2,1,2,3,1,1,3,4,3,1,1,1,2,2,1,2,3,2,3,3,3,1,3,1,3,3,3,3, ,1,3,3,1,1,1, ,2, ,2, , , , , , , , , , ,1,1,2,3,2,6,6,6,1,8,2,2,4,3,1,2,2, ,1,2,2,2,2, ,2,3,4, , , ,0,90,5,3,2,2,1,2,1,1,2,1,1, ,2,1, ,3,4,1,1,6,2,1,1,1,1,10, ,6,3,2,2,8,1,1,3,1,1,13,0.1784580037,0.1217659734
291097,0,3,9,1,1,1,2, ,1,5, , , , ,2,3,2,3,1,2,3,2,1,4,4,4,3,2,4,2,3,5,2,2,2,2,1,2,2,3,3,3,3,3,3,3,1,3,3,3,3, ,3,2,2,2,2,1, ,2, ,2, , , , , , , , , , ,3,2,2,3,5,6,6,6,1,8,1,2,2,1,3,2,2, ,1,2,3,3,3, ,2,2,4, , , ,80,10,90,2,1,2,2,1,2,3,4,1,2, ,3,2, ,4,4,1,1,6,2,1,1,1,5,2,1,2,1, ,1,3,3,1,2,1,2,17,0.3835541258,0.2620490008
291347,0,3,9,1,1,2,3,1,1,3, , ,8, , ,4,2,2,1,1,2,1, ,2,2,2,2,1,2,1,4,1,2,1,1,1,1,3,2,3,1,3,3,3,1,2,1,2,2,2,3, ,3,3,3,2,1,1, ,2, ,1,2, , , ,1, , , , , ,1,3,3,3,5,6,4,6,1,1,2,2,3,1,1,2,2, ,1,2,3,2,1, ,2,3,2, , , ,0,100,10,3,2,2,1,1,1,1,1,1,2, ,3,2, ,4,2,1,1,6,2,1,1,1,1,3,2,2,2, ,2,7,1,1,4,1,1,15,0.19369364,0.1227043631
291422,0,3,9,2,1,3,3, ,2,4, , , ,1, ,5,1,2,1,1,2,1, ,2,2,1,3,2,2,1,3,2,2,1,1,1,1,2,2,2,2,2,3,3,1,2,2,2,2,3, ,3,1,3,3,2,2, ,2,1,1,2, , , , , , , , , , ,2,2,2,2,4,5,5,5,1,1,3,2,3,1,1,2,1,2, ,1,3,2, ,2,2,2,3, , , ,1,99,2,1,2,1,1,2,2,2,1,1,1, ,3, ,1,2,4,2,2,4,2,1,1,1,5,1,2,4,3,2,2,2,3,1,4,1,2,5,0.7915190562,0.5926764753
291468,0,3,9,2,2,2,1, ,2,2, ,1, , , ,5,1,3,1,1,3,1, ,2,1,3,2,2,2,2,2,1,2,1,1,2,1,2,3,2,1,3,3,3,2,3,3,2,3,1, ,2,3,1,1,2,3, ,2,2, ,1,2, , , ,1,5, , , , ,3,2,1,2,3,5,6,5,99,1,1,2,4,2,3,2,2, ,2,2,2,99,3, ,3,3,2, , , ,75,0,85,2,1,1,2,1,2,3,4,2, ,1,3, ,2,2,4,1,1,5,2,1,1,1,1,1,2,2,4,1,1,7,1,1,2,1,2,5,0.889142921,0.6025776915
291504,0,3,9,1,2,1,2, ,1,5, , , , ,1,3,3,3,2,2,3,2,2,1,1,2,3,2,3,1,3,4,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1, ,3,2,2,1,1,3, ,2, ,2, , , , , , , , , , ,2,2,3,2,3,3,3,5,1,1,2,2,3,4, ,2,3, , ,3,3,4,2,2, ,3,4, , , ,0,75,0,3,2,2,1,2,1,1,2,2, ,1,3,2, ,2,4,2,1,6,2,1,1,1,3,1,2,3,3,2,2,4,2,1,3,1,1,6,0.1245347318,0.1801832753
291673,0,3,9,1,2,1,1, ,1,1,1, , , , ,5,1,3,1,2,2,1, ,2,1,2,1,2,2,1,2,4,2,1,1,2,2,3,3,2,2,3,3,3,2,2,1,2,2,3,1, ,1,2,2,1,1,1, ,2, ,2, , , , , , , , , , ,99,3,3,1,1,2,3,1,1,8,1,1,1,2,1,1,1,3, ,1,3,3, ,2,3,2,4, , , ,0,85,10,3,2,2,1,2,1,1,1,1,1, ,2,1, ,4,4,2,1,6,2,1,1,1,5,11, ,2,2, ,2,8,1,1,4,1,1,17,0.1725220891,0.161723764
291696,0,1,9,2,1,2,1,1,1,1,1, , , , ,5,2,3,1,1,2,1, ,2,2,2,2,2,1,2,3,1,2,1,1,1,2,3,1,2,2,3,3,3,2,2,1,2,2,3, ,1,3,3,3,2,1, ,3,2, ,2, , , , , , , , , , ,3,2,3,3,4,5,6,6,1,1,2,2,4,1,1,2,2, ,2,2,3,3,2, ,3,2,1, , , ,0,100,5,1,2,2,1,2,1,1,1,1,1, ,2, ,1,4,4,1,1,6,2,1,1,1,1,12, ,6,2, ,2,9,1,1,4,1,1,17,0.2035368445,0.1179660957
292722,0,3,9,2,1,1,1, ,1,5, , , , ,99,4,2,2,1,2,2,1, ,2,2,2,2,3,1,1,1,2,1,1,1,2,2,1,3,3,1,3,3,3,2,3,2,2,2,3, ,1,1,2,3,2,99, ,3,2, ,2, , , , , , , , , , ,2,1,2,3,2,2,5,5,1,8,4,3,4,3,3,3,1,2, ,1,3,3, ,2,2,2,2, , , ,90,25,90,2,1,1,2,1,1,3,4,2, ,1,3, ,2,3,4,2,3,2,2,1,1,1,5,1,1,2,1, ,1,3,3,1,2,1,2,7,1.4251273312,2.5124335386
292724,0,1,9,1,1,2,2, ,2,4, , , ,1, ,5,2,4,1,1,3,1, ,3,1,2,2,3,2,1,3,1,2,1,1,2,1,2,1,3,2,3,3,3,3,3,3,3,2,3,2, ,3,2,2,2,2,3, ,2, ,1,1,1,9, , , , , , , ,3,1,2,2,2,1,4,6,1,1,2,1,2,3,3,2,2, ,1,2,2,3,3, ,3,2,3, , , ,26,27,30,3,1,1,1,1,2,3,2,1,1, ,3,1, ,1,4,1,1,6,2,1,1,1,1,1,2,4,1, ,1,7,1,1,3,1,1,3,0.1875535557,0.1309998763
292740,0,1,9,1,1,2,2, ,1,4, , , ,1, ,4,2,2,1,1,3,2,2,3,3,3,4,2,2,2,2,3,2,1,1,1,1,3,3,3,2,3,3,3,3,2,2,2,2,3,2, ,3,2,2,2,2,1, ,1,2,2, , , , , , , , , , ,3,2,1,3,2,4,5,5,1,1,4,3,4,2,1,2,2, ,1,2,2,2,2, ,2,3,3, , , ,90,10,95,3,1,1,2,1,2,3,3,2, ,1,3,2, ,3,4,1,3,2,2,1,1,1,1,1,1,4,1, ,1,4,2,1,2,1,2,7,3.3783974774,3.2504850264
292832,0,3,9,1,2,2,4,1,1,5, , , , ,2,2,2,3,1,1,2,2,2,2,1,2,1,2,1,1,1,4,3,1,1,1,1,3,2,2,2,3,3,3,2,3,2,3,3,2,3, ,3,2,2,2,2,3, ,1,3,2, , , , , , , , , , ,4,2,1,3,4,6,6,6,1,1,3,2,3,3,3,2,2, ,1,2,2,2,1, ,2,1,1, ,3, ,90,2,95,3,1,1,2,1,2,4,4,2, ,2,3,2, ,2,2,1,2,3,2,1,1,1,1,2,2,2,1, ,1,9,1,1,1,1,1,11,0.305347722,0.2941236641
292849,0,3,9,1,2,2,4, ,2,1,2, , , , ,3,2,2,2,2,3,2,2,2,2,3,3,3,3,2,4,2,2,1,1,1,99,99,99,1,2,3,3,3,1,3,3,2,2,2,2, ,1,2,1,2,2,3, ,1,2,2, , , , , , , , , , ,2,2,2,3,4,5,2,6,2,8,3,3,4,2,3,2,2, ,3,2,3,3,3, ,3,1,3, ,3, ,0,55,0,3,2,2,1,1,2,3,1,1,1, ,4,2, ,4,3,1,2,3,2,1,1,1,3,12, ,6,4,99,9,3,3,1,3,1,1,15,0.168596739,0.1695987365
292854,0,3,9,2,3,2,2,2,2,1,1, , , , ,2,3,2,2,2,2,1, ,2,2,3,3,1,3,2,3,4,2,1,1,1,3,3,3,3,2,3,3,3,2,2,2,2,2,1, ,2,1,1,1,1,2, ,2,2, ,2, , , , , , , , , , ,3,3,3,3,4,5,5,5,1,8,2,2,4,1,3,3,2, ,1,2,2,2,2, ,2,1,2, ,3, ,35,30,30,3,1,2,2,1,2,2,2,1,2, ,2, ,2,4,4,1,1,5,2,1,1,1,1,10, ,6,4,1,1,9,1,1,3,1,2,17,0.7576614089,0.4789025745
292971,0,1,9,2,2,3,2,2,3,5, , , , ,1,3,2,2,1,1,2,2,1,3,1,2,2,1,2,1,2,1,2,1,1,1,1,3,2,2,1,2,3,3,2,2,2,1,2,3, ,3,3,2,2,1,2, ,2,1,2,1,2, , , ,98, , , , , ,4,3,1,1,2,5,2,5,1,1,1,1,1,3,2,3,3, , ,3,3,4,2,2, ,2,3, , , ,55,55,100,3,1,1,1,1,2,2,3,2, ,1,4, ,2,3,2,1,1,5,2,1,1,1,1,1,1,1,1, ,1,3,3,1,2,1,1,10,0.0946850337,0.1270544089
293111,0,1,9,2,3,3,2,2,2,3, , ,5, , ,5,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,4,2,1,1,1,3,3,3,2,1,3,3,3,3,3,3,3,2,3, ,3,3,3,3,2,3, ,2,1,2,2, , , , , , , , , , ,3,3,3,1,2,5,5,6,1,8,1,2,3,2,3,3,3, , ,3,3,2,3,3, ,3,2, , , ,100,0,75,3,1,1,1,2,2,3,4,2, ,1,4, ,2,2,4,2,2,4,2,1,1,1,3,1,2,1,1, ,1,5,2,1,2,1,1,12,0.1530752353,0.182002699
293203,0,3,9,1,2,2,2,2,3,1,2, , , , ,5,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,1,3,3,2,3,3,2,1,3, ,3,3,3,3,3,3, ,2, ,1,1,99, , , , , , , , ,3,3,3,3,4,6,6,6,2,8,4,5,5,2,1,1,1,3, ,1,2,3, ,3,3,3,2, , , ,50,100,50,2,1,2,1,1,1,3,1,2, ,1,3,1, ,1,2,2,3,2,2,1,1,1,6,2,2,5,3,2,2,1,3,1,4,1,2,3,2.4358380276,2.4748581913
293322,0,1,9,1,1,2,1, ,1,5, , , , ,1,4,2,3,1,1,4,1, ,1,1,1,3,2,1,2,4,2,1,1,1,2,3,3,2,2,2,2,2,2,1,2,1,1,2,1,2, ,1,2,3,2,1,3, ,1,3,2, , , , , , , , , , ,1,2,3,3,3,3,6,5,1,8,2,2,4,1,1,1,2, ,2,2,2,1,1, ,2,3,3, , , ,0,90,2,3,2,1,1,2,1,1,2,2, ,99,3,2, ,3,4,2,1,5,2,1,1,1,1,2,2,4,2, ,2,8,1,1,4,1,1,7,0.2303699469,0.233416752
293500,0,2,9,2,1,4,1,1,1,5, , , , ,2,2,4,1,4,4,4,2,2,1,4,4,4,1,1,1,4,3,3,1,1,1,3,3,3,1,1,3,3,1,1,2,1,3,3,3, ,1,3,3,3,1,3, ,3,2, ,1,2, , , ,99, , , , , ,4,4,4,4, , , , , , ,5,5,5,3,3,1,1,1, ,1,2,3, ,4,1,1,2,2, , ,0,100,0,3,2,2,1,2,2,4,1,2, ,1,5, ,1,4,2,1,3,2,2,3,4,1,6,2,2,2,3,99,9,1,3,2,5,1,2,17,6.8741141631,6.5209741543
293747,0,1,9,1,1,1,1, ,1,3, , ,7, , ,1,1,3,2,1,2,2,2,1,1,2,3,1,1,1,3,1,1,1,1,1,1,2,3,2,1,2,3,1,2,2,1,1,1,2,1, ,3,1,1,1,1,1, ,2, ,2, , , , , , , , , , ,2,2,2,3,3,6,6,6,1,8,4,2,4,1,1,2,2, ,3,2,2,2,2, ,2,2,4, , , ,0,100,0,3,1,1,1,2,1,1,2,1,1, ,3,1, ,4,2,2,3,2,1,4,3,1,1,2,2,4,3,2,2,3,3,3,4,1,2,17,2.2234569244,1.8066918591
294176,0,2,9,1,1,2,2,3,2,3, , ,7, , ,5,2,2,1,1,2,1, ,2,1,2,4,1,2,2,4,1,2,1,1,2,1,2,2,2,2,3,3,3,2,2,2,2,2,3,2, ,3,2,3,3,3,3, ,1,3,1,1,1,13, , , , , , , ,3,2,2,2,2,4,6,5,1,1,2,3,3,2,3,2,2, ,1,2,2,3,3, ,3,2,1, , , ,75,42,50,3,1,1,2,1,2,4,2,1,2, ,3,1, ,1,2,1,1,6,2,1,1,1,1,2,2,4,3,2,2,7,1,1,3,1,1,3,0.2372613754,0.1727126262
